state,state_full,percent_cases,tot_cases,population_data_millions
AK,Alaska,0.4057793158743015,297588,0.733374
AL,Alabama,0.33038194022881623,1659936,5.024294
AR,Arkansas,0.33041550860205415,995043,3.01149
AZ,Arizona,0.34565351691040197,2474154,7.157902
CA,California,0.3098728895479644,12251820,39.538212
CO,Colorado,0.30892856184077233,1783663,5.773707
CT,Connecticut,0.27242345348416713,982335,3.605912
DE,Delaware,0.3371618249884337,333772,0.989946
FL,Florida,0.3515742436606634,7572282,21.538216
GA,Georgia,0.2882018852185659,3087729,10.713771
HI,Hawaii,0.2571776861264614,374264,1.455274
IA,Iowa,0.2848947805419149,908936,3.190427
ID,Idaho,0.2860709786272434,526118,1.839117
IL,Illinois,0.3228367743348815,4136659,12.813469
IN,Indiana,0.3059971627493095,2076326,6.785442
KS,Kansas,0.321979621047472,945923,2.937835
KY,Kentucky,0.38681804594770386,1743117,4.506297
LA,Louisiana,0.3436418812804799,1600610,4.657785
MA,Massachusetts,0.31881094274607763,2242176,7.032933
MD,Maryland,0.22330071311633182,1379385,6.177253
ME,Maine,0.23693328159145877,322982,1.363177
MI,Michigan,0.30824196138910626,3106362,10.077674
MN,Minnesota,0.3146719249513388,1795771,5.706804
MO,Missouri,0.2909496824394396,1790763,6.154889
MS,Mississippi,0.3378289849140886,1000415,2.961306
MT,Montana,0.30801092742961916,333959,1.084244
NC,North Carolina,0.33540090535342876,3501404,10.439459
ND,North Dakota,0.37363733331279625,291093,0.779079
NE,Nebraska,0.2931418246502868,575134,1.961965
NH,New Hampshire,0.2773185802933379,382013,1.377524
NJ,New Jersey,0.3310644944003357,3075271,9.289039
NM,New Mexico,0.3217161544727925,681242,2.117525
NV,Nevada,0.28941122206056336,898511,3.104617
NY,New York,0.17681350458759193,3572043,20.20232
OH,Ohio,0.2916655190027299,3441458,11.799331
OK,Oklahoma,0.32993543736682046,1306350,3.959411
OR,Oregon,0.230302512532217,975856,4.237279
PA,Pennsylvania,0.27373598646690234,3559331,13.002788
RI,Rhode Island,0.40229421043566854,441466,1.097371
SC,South Carolina,0.36183397930065164,1852019,5.118422
SD,South Dakota,0.319054031497697,282895,0.886668
TN,Tennessee,0.36785439456524915,2542163,6.910786
TX,Texas,0.2919221138359839,8508204,29.145459
UT,Utah,0.3354536934980716,1097475,3.271614
VA,Virginia,0.26772635130007705,2310846,8.631373
VT,Vermont,0.23985152633354948,154243,0.643077
WA,Washington,0.2540806178423149,1957759,7.705267
WI,Wisconsin,0.34455647908203196,2030717,5.893713
WV,West Virginia,0.36268678434063867,650556,1.793713
WY,Wyoming,0.3242333362225882,187034,0.57685
